Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
SOCIAL SCIENCES & HUMANITIES,Business & Finance,58,21.4%,1.8%
SOCIAL SCIENCES & HUMANITIES,Technology & Engineering,18,6.6%,0.6%
SOCIAL SCIENCES & HUMANITIES,Healthcare & Science,32,11.8%,1.0%
SOCIAL SCIENCES & HUMANITIES,Education & Service,22,8.1%,0.7%
SOCIAL SCIENCES & HUMANITIES,"Arts, Media & Legal",8,3.0%,0.2%
SOCIAL SCIENCES & HUMANITIES,Unclassified,133,49.1%,4.2%
