Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
BUSINESS & MANAGEMENT,Business & Finance,480,30.6%,15.0%
BUSINESS & MANAGEMENT,Technology & Engineering,45,2.9%,1.4%
BUSINESS & MANAGEMENT,Healthcare & Science,35,2.2%,1.1%
BUSINESS & MANAGEMENT,Education & Service,18,1.1%,0.6%
BUSINESS & MANAGEMENT,"Arts, Media & Legal",8,0.5%,0.2%
BUSINESS & MANAGEMENT,Unclassified,984,62.7%,30.7%
