Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
Unclassified,Business & Finance,42,30.4%,1.3%
Unclassified,Technology & Engineering,15,10.9%,0.5%
Unclassified,Healthcare & Science,8,5.8%,0.2%
Unclassified,Education & Service,4,2.9%,0.1%
Unclassified,"Arts, Media & Legal",2,1.4%,0.1%
Unclassified,Unclassified,67,48.6%,2.1%
