Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
NATURAL & HEALTH SCIENCES,Business & Finance,48,11.0%,1.5%
NATURAL & HEALTH SCIENCES,Technology & Engineering,52,11.9%,1.6%
NATURAL & HEALTH SCIENCES,Healthcare & Science,165,37.8%,5.2%
NATURAL & HEALTH SCIENCES,Education & Service,12,2.8%,0.4%
NATURAL & HEALTH SCIENCES,"Arts, Media & Legal",4,0.9%,0.1%
NATURAL & HEALTH SCIENCES,Unclassified,155,35.6%,4.8%
