Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
"ARTS, LANGUAGES & THEOLOGY",Business & Finance,28,32.6%,0.9%
"ARTS, LANGUAGES & THEOLOGY",Technology & Engineering,4,4.7%,0.1%
"ARTS, LANGUAGES & THEOLOGY",Healthcare & Science,5,5.8%,0.2%
"ARTS, LANGUAGES & THEOLOGY",Education & Service,5,5.8%,0.2%
"ARTS, LANGUAGES & THEOLOGY","Arts, Media & Legal",4,4.7%,0.1%
"ARTS, LANGUAGES & THEOLOGY",Unclassified,40,46.5%,1.2%
