Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
ENGINEERING & TECHNOLOGY,Business & Finance,65,14.1%,2.0%
ENGINEERING & TECHNOLOGY,Technology & Engineering,245,53.0%,7.7%
ENGINEERING & TECHNOLOGY,Healthcare & Science,28,6.1%,0.9%
ENGINEERING & TECHNOLOGY,Education & Service,6,1.3%,0.2%
ENGINEERING & TECHNOLOGY,"Arts, Media & Legal",3,0.6%,0.1%
ENGINEERING & TECHNOLOGY,Unclassified,115,24.9%,3.6%
