Major Cluster,Career Cluster,Count,Percentage,Percentage of Total
COMMUNICATION & MEDIA,Business & Finance,38,23.8%,1.2%
COMMUNICATION & MEDIA,Technology & Engineering,12,7.5%,0.4%
COMMUNICATION & MEDIA,Healthcare & Science,6,3.8%,0.2%
COMMUNICATION & MEDIA,Education & Service,5,3.1%,0.2%
COMMUNICATION & MEDIA,"Arts, Media & Legal",6,3.8%,0.2%
COMMUNICATION & MEDIA,Unclassified,93,58.1%,2.9%
