Major (Small Cluster),Industry (Job Function),Count
Physical Sciences,Management & Leadership,2
Physical Sciences,Software & IT,2
Social Sciences,Consulting & Advisory,2
Social Work,Government & Public Service,2
Specialized Business,Education & Teaching,2
Specialized Business,Healthcare & Clinical,2
Specialized Business,Marketing & Communications,2
Arts & Theology,Design & Creative,1
Arts & Theology,Finance & Accounting,1
Arts & Theology,Healthcare & Clinical,1
Arts & Theology,Human Resources,1
Arts & Theology,Legal,1
Arts & Theology,Research & Science,1
Biological Sciences,Administrative & Support,1
Biological Sciences,Marketing & Communications,1
Biological Sciences,Operations & Supply Chain,1
Communication Studies,Administrative & Support,1
Communication Studies,Engineering,1
Communication Studies,Government & Public Service,1
Communication Studies,Healthcare & Clinical,1
Communication Studies,Legal,1
Communication Studies,Management & Leadership,1
Communication Studies,Nonprofit & Social Services,1
Communication Studies,Research & Science,1
Computer Science & IT,Data & Analytics,1
Computer Science & IT,Healthcare & Clinical,1
Computer Science & IT,Management & Leadership,1
Computer Science & IT,Operations & Supply Chain,1
Computer Science & IT,Sales & Business Development,1
Creative Writing,Consulting & Advisory,1
Creative Writing,Engineering,1
Creative Writing,Finance & Accounting,1
Creative Writing,Healthcare & Clinical,1
Creative Writing,Sales & Business Development,1
Economics,Human Resources,1
Economics,Management & Leadership,1
Economics,Marketing & Communications,1
Engineering Disciplines,Finance & Accounting,1
English & Writing,Software & IT,1
Environmental Sciences,Construction & Trades,1
Environmental Sciences,Nonprofit & Social Services,1
Environmental Sciences,Operations & Supply Chain,1
Finance & Accounting,Legal,1
Finance & Accounting,Real Estate,1
General Business,Administrative & Support,1
General Business,Engineering,1
Health & Wellness,Administrative & Support,1
Health & Wellness,Consulting & Advisory,1
Health & Wellness,Government & Public Service,1
Health & Wellness,Marketing & Communications,1
Health & Wellness,Nonprofit & Social Services,1
Health & Wellness,Research & Science,1
Health & Wellness,Software & IT,1
Humanities & Liberal Arts,Legal,1
Humanities & Liberal Arts,Marketing & Communications,1
Humanities & Liberal Arts,Nonprofit & Social Services,1
Humanities & Liberal Arts,Software & IT,1
International Studies,Consulting & Advisory,1
International Studies,Finance & Accounting,1
International Studies,Government & Public Service,1
International Studies,Legal,1
International Studies,Nonprofit & Social Services,1
International Studies,Sales & Business Development,1
International Studies,Software & IT,1
Journalism & Media,Consulting & Advisory,1
Journalism & Media,Design & Creative,1
Journalism & Media,Finance & Accounting,1
Languages,Consulting & Advisory,1
Languages,Marketing & Communications,1
Languages,Operations & Supply Chain,1
Marketing & Communication,Data & Analytics,1
Marketing & Communication,Government & Public Service,1
Marketing & Communication,Real Estate,1
Operations & Analytics,Construction & Trades,1
Operations & Analytics,Design & Creative,1
Operations & Analytics,Engineering,1
Physical Sciences,Data & Analytics,1
Physical Sciences,Government & Public Service,1
Social Sciences,Nonprofit & Social Services,1
Social Sciences,Real Estate,1
Social Sciences,Research & Science,1
Social Sciences,Software & IT,1
Social Work,Construction & Trades,1
Social Work,Education & Teaching,1
Social Work,Nonprofit & Social Services,1
Social Work,Software & IT,1
Specialized Business,Administrative & Support,1
Specialized Business,Legal,1
Specialized Business,Real Estate,1
Specialized Business,Software & IT,1
Teacher Education,Healthcare & Clinical,1
