Top 50 Job Titles,Count
Unknown,1211
Intern,66
Teacher,36
Financial Analyst,31
Software Engineer,29
Actuarial Analyst,22
Audit Associate,20
Mechanical Engineer,17
Analyst,17
Project Manager,16
Associate,16
Sales Associate,14
Project Engineer,14
Marketing Coordinator,12
Tax Associate,12
Sales Development Representative,12
Account Executive,11
Account Manager,11
Associate Consultant,11
Software Developer,11
Accountant,10
Marketing Specialist,10
Design Engineer,10
Manufacturing Engineer,10
Medical Scribe,9
Data Analyst,8
Business Development Representative,8
Inventory Analyst,8
Investment Banking Analyst,7
Technical Recruiter,7
Financial Advisor,7
Investment Analyst,7
Marketing Associate,7
Staff Accountant,7
Mechanical Design Engineer,6
Sales Representative,6
Credit Analyst,6
Recruiter,6
Business Analyst,6
Paralegal,6
Server,6
Underwriter,5
Communications Coordinator,5
Legal Assistant,5
Laboratory Technician,5
Case Manager,5
Leadership Development Program Associate,5
Graduate Engineer,5
Financial Services Associate,5
Scribe,5
,
Career Clusters,Count
Other / Unclassified,1538
Technical & Engineering,570
Marketing & Sales,249
Finance & Analysis,193
Healthcare & Clinical,154
Operations & Logistics,144
Leadership & Management,136
Research & Scientific,108
Education & Instruction,66
Counseling & Social Support,22
Creative & Media,15
Legal,6
