Major Cluster,Versatility Score (0-1)
EDUCATION,0.7090610071266348
LEADERSHIP_LAW,0.6981132075471699
BUSINESS,0.6249254181437434
STEM,0.6240978708760667
OTHER,0.5892857142857143
SOCIAL_SCI,0.5859719529753199
COMM_MEDIA,0.4825837171989028
HUMANITIES,0.4304987654320988
