Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,School of Engineering,Bachelor's Degree,2024,Direct Care Professional,Healthcare & Clinical,Always Best Care Senior Services,Government & Public Service,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Operation Manager,Management & Leadership,Amazon,Technology & Software,Wisconsin
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Area Operations Manager,Operations & Supply Chain,Amazon,Technology & Software,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Health,Bachelor's Degree,2024,Software Consultant,Software & IT,Ameren,Energy & Utilities,Minnesota
Environmental Science,NATURAL & HEALTH SCIENCES,Environmental Sciences,College of Health,Bachelor's Degree,2024,Construction Materials Technician,Engineering,American Engineering Testing,"Construction, Engineering & Real Estate",Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,School of Engineering,Bachelor's Degree,2024,CollegePoint Coach,Government & Public Service,AmeriCorps,Government & Public Service,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,College Coach,Government & Public Service,Americorps,Government & Public Service,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Contingent Manufacturing Engineer,Engineering,Abbott Laboratories,Healthcare & Medical,Illinois
Economics - Mathematical,SOCIAL SCIENCES & HUMANITIES,Economics,Opus College of Business,Bachelor's Degree,2024,Analytics LDP Associate,Data & Analytics,Ameriprise Financial,Financial Services & Insurance,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Leadership development Program - Mobile app team,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
Economics,BUSINESS & MANAGEMENT,Economics,Opus College of Business,Bachelor's Degree,2024,Fund Accountant,Finance & Accounting,"Ameriprise Financial Services, LLC",Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Financial Advisor in Training,Finance & Accounting,"Ameriprise Financial Services, LLC",Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Paraplanner,Finance & Accounting,"Ameriprise Financial Services, LLC",Financial Services & Insurance,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Inside sales representative,Sales & Business Development,Andersen,Manufacturing & Industrial,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Supply chain analyst,Operations & Supply Chain,Andersen Corporation,Manufacturing & Industrial,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Account Representative,Finance & Accounting,Aon,Financial Services & Insurance,Minnesota
