Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Legal Studies,Presales & Enablement Specialist,LogicGate,College of Arts & Sciences,Bachelor's Degree,Illinois,2021
Sociology,Cashiering,Michaels,Opus College of Business,Bachelor's Degree,Minnesota,2021
Catholic Studies,Laborer,Mid Michigan Wood Specialties,Opus College of Business,Bachelor's Degree,Michigan,2021
Neuroscience,Research assistant,Midwest Healthy Ag,School of Engineering,Bachelor's Degree,Minnesota,2021
Biology,Field Biologist,Midwest Natural Resources,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Financial Services Professional,Midwest Secure Retirement,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Direct Support Professional,Midwestern Special Services,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Actuarial Science,Actuarial Analyst,Milliman IntelliScript,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Biology,Clinical Research Coordinator,Minneapolis Clinic of Neurology,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology of Global Health,Clinic Assistant,Minneapolis Clinic of Neurology,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Leadership & Management,Latinx Empowerment & Recruitment Program Coordinator,Minneapolis College (MCTC),Opus College of Business,Bachelor's Degree,Minnesota,2021
English - Creative Writing,Director of Communications,Minneapolis Regional Chamber,Opus College of Business,Bachelor's Degree,Minnesota,2021
Human Resources Management,HR Transactions Specialist II,Minnesota Department of Employment and Economic Development,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Political Science,DFL House Finance Intern,Minnesota DFL,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Communications Coordinator,Minnesota Hospital Association,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,IT2 Asset Coordinator,Minnesota IT Services,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Inclusion Coordinator,Minnesota Jewish Community Center,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Second Lieutenant,Minnesota National Guard,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Soccer Coach,Minnesota Thunder Academy,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Promotions Crew,Minnesota Wild,School of Engineering,Bachelor's Degree,Minnesota,2021
Operations Management,Senior Demand Planner and Inventory Analyst,Modern Automotive Performance,School of Engineering,Bachelor's Degree,Minnesota,2021
Accounting,Accounts receivable,Mortenson Construction,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Integration Engineer I,Multifeeder technology,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Software Engineer,Municipal Parking Services,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Software Developer,My Global Data Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Intern,My Very Own Bed,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Social Gaming Representative,Mystic Lake Casino Hotel,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Philosophy,Sales Development Representative,Nagios Enterprises,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Operations Management,Financial Analyst,NASA,Opus College of Business,Bachelor's Degree,Minnesota,2021
Public Health,Research services coordinator,National Ataxia Foundation,School of Engineering,Bachelor's Degree,Minnesota,2021
Geography - Geo Info Sys (GIS),GIS Intern,National Grid Renewables,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Associate,National Grid Renewables,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Software Developer,National Information Solutions Cooperative,Opus College of Business,Bachelor's Degree,Minnesota,2021
Data Analytics,Software Developer,National Information Solutions Cooperative (NISC),Opus College of Business,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),Lead Teacher,Nativity Early Learning Center,Opus College of Business,Bachelor's Degree,Minnesota,2021
Operations Management,"Account Manager, import ocean",Navegate,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Business Development Specialist,Naviant,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Marketing Management,Sales Development Representative,NetSPI,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Sales Development Representative,NetSPI,Opus College of Business,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Sales Development Representative,NetSPI,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Sales Associate,NetWorth Realty USA,Opus College of Business,Bachelor's Degree,Texas,2021
Mechanical Engineering,Mechanical engineer I,New Hudson Facades,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Finance Analyst,Newell Brands,Opus College of Business,Bachelor's Degree,Georgia,2021
Computer Science,System Specialist,NISC,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Developer,No,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Communication Studies,Development Admin,Nomi Network,Opus College of Business,Bachelor's Degree,New York,2021
COJO Creative Multimedia,Volunteer Coordinator,Nonviolent Peaceforce,Opus College of Business,Bachelor's Degree,Do not live in the United States,2021
Mechanical Engineering,Engineer I,Nordson Medical,School of Education,Bachelor's Degree,Minnesota,2021
Political Science,Customer Service Experience Representative,Nordstrom,College of Arts & Sciences,Bachelor's Degree,Washington,2021
Financial Management,Practice Coordinator,North Star Resource Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Loan Operations Coordinator,NorthMarq,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Production transition engineer,Northrop Grumman,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Associate Financial Representative,Northwestern Mutual,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Campus Recruiter,Northwestern Mutual,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Neuroscience,Recruiting Coordinator,Northwestern Mutual,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Investment Performance Analyst,Nuveen,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Services Professional,NYLIFE Securities LLC,Opus College of Business,Bachelor's Degree,New York,2021
Music - Performance,Manager,Ol' Mexico Restaurante & Cantina,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Journalism,Kitchen Staff,Olives Fresh,School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Accounting and Financial Consultant,Olufemi B Ijadimbola CPA Ltd,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Graphic Designer,Onesta,Opus College of Business,Bachelor's Degree,Minnesota,2021
Music,Intern,OOPS MN,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Junior Software Developer,Open Access Technology International,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Engineer,Open systems international,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Computer Engineering,Project Engineer,Open Systems international,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Engineering,Software Developer,Open Systems International,School of Engineering,Bachelor's Degree,Minnesota,2021
Computer Engineering,Project Engineer,Open Systems International,Opus College of Business,Bachelor's Degree,Minnesota,2021
Statistics,Associate actuarial analyst,Optum,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Associate Actuarial Analyst,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Advisory services analyst,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Developer,Optum,Opus College of Business,Bachelor's Degree,Minnesota,2021
Human Resources Management,Claims Rep Associate,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Actuarial Science,Associate Actuarial Analyst,Optum,School of Engineering,Bachelor's Degree,Montana,2021
Economics - Business,Advisory Services Analyst,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Actuarial Science,Associate Actuarial Analyst,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Analyst,Optum,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Software Engineer,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,TDP Associate,Optum,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Creative Multimedia,Project Coordinator,Optum,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Advisory Services Analyst,Optum,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Business Development Consultant,Oracle,College of Arts & Sciences,Bachelor's Degree,Texas,2021
Elementary Education (K-6),Floating Hybrid Teacher,Orono Public Schools,School of Engineering,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Search Engine Marketing Analyst,Ovative Group,College of Health,Bachelor's Degree,Minnesota,2021
Chemistry,Scientist,Pace Analytical,College of Health,Bachelor's Degree,Minnesota,2021
Chemistry,Scientist,Pace Analytical,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Inside Sales Representative,Packard Culligan Water,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Chemical Dependency Technician,Park Avenue Center,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Paralegal,Paschal Nwokocha & Chukwu Law Offices,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Software Engineer 1,Patterson Dental,School of Education,Bachelor's Degree,Minnesota,2021
Marketing Management,Business Consultant,Paychex,Opus College of Business,Bachelor's Degree,New York,2021
Computer Science,Associate Software Developer,Pearson VUE,Opus College of Business,Bachelor's Degree,Minnesota,2021
Strategic Comm: Ad and PR,Music Management and Research Intern,MIC: Music Industry Connected,Opus College of Business,Bachelor's Degree,Illinois,2021
Operations Management,Management Trainee,Penske Truck Leasing,Opus College of Business,Bachelor's Degree,Pennsylvania,2021
Mechanical Engineering,Engineering leadership development,Pentair,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Manufacturing Engineer,Pentair,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Mental Health Practitioner,People Incorporated,Opus College of Business,Bachelor's Degree,Minnesota,2021
Catholic Studies,Associate Account Manager,Periscope,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Associate Project Manager,Periscope,Opus College of Business,Bachelor's Degree,Minnesota,2021
English - Creative Writing,Food Server,Perkins Restaurant & Bakery,Opus College of Business,Bachelor's Degree,Georgia,2021
Entrepreneurship,"Marketing Manager, Business Consultant",Peters Orthodontic Specialists PLLC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Insurance Agent,Physicians Mutual Insurance Company,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Leadership & Management,Associate Consultant,Pioneer Management Consulting,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Investment Banking Analyst,Piper Sandler,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,General Manager,Plum’s Neighborhood Bar and Grill,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Validation Engineer,Polaris,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Early Talent Specialist,Polaris,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales and Marketing Associate,Polaris,Opus College of Business,Bachelor's Degree,Minnesota,2021
Geography,Jr. GIS Technician,Polaris Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Sourcing Specialist 1,Polaris Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Chef,Pool & Yacht Club,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Product Development Engineer,prefer not to share,Opus College of Business,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Loan Officer,Premier Banks,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Catholic Studies,CNA,Presbyterian homes and services,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Accounting,Accountant,Prescription Landscape,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Analyst II,PRGX Global Inc.,College of Arts & Sciences,Bachelor's Degree,Georgia,2021
International Business,International Logistics & Sales Coordinator,Primera Technology,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Technology Consultant - Security & Privacy (Cybersecurity),Protiviti,Opus College of Business,Bachelor's Degree,California,2021
Accounting,Tax Associate,PwC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Assurance Associate,PwC,College of Arts & Sciences,Bachelor's Degree,,2021
Accounting,Corporate Tax Associate,PwC,College of Health,Bachelor's Degree,Minnesota,2021
Accounting,Audit associate,PwC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Tax Associate,PwC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Staff Accountant,PwC,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Economics,Technology Consultant,PwC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Assurance Associate,PwC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Assitant Media Planner,Quad,College of Health,Bachelor's Degree,Wisconsin,2021
Mechanical Engineering,Independent Contractor,QubicaAMF Worldwide,Opus College of Business,Bachelor's Degree,Virginia,2021
International Business,Sales Development Representative,Queue-it,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biochemistry,Technical Service Associate,R&D Systems,College of Health,Bachelor's Degree,Minnesota,2021
Marketing Management,PPC Intern,Radd Interactive,College of Arts & Sciences,Bachelor's Degree,California,2021
Mechanical Engineering,Mechanical Engineer,Radwave Technologies Inc.,School of Engineering,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Radar controls and electrical engineer,Raytheon,College of Health,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Electrical Engineer,Raytheon Missiles & Defense,College of Arts & Sciences,Bachelor's Degree,Arizona,2021
Computer Engineering,Customer Success Representative,RazorSync LLC,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Associate II,RBC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Complex Operations Associate,RBC Wealth Management,School of Engineering,Bachelor's Degree,Do not live in the United States,2021
Gen Business Mgmt,Client Support Services,RBC Wealth Management,College of Health,Bachelor's Degree,Do not live in the United States,2021
Mathematics (Applied Track),Tutor/Coordinator,Reaching Up Homework Help,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Co-Owner,Recovery First Sober Homes,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Mortgage Loan Officer,Refined Lending,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Mental Health Associate,Regions Hospital,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Human Resources Management,Talent Acquisition Coordinator I,Renewal by Andersen,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Leadership & Management,Patient Advocate Associate,Revo Health,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales,Rice Lake Weighing,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Biology,Social Media Specialist,RIVER VALLEY DENTAL PA,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Tax Associate,RMS,College of Health,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Manufacturing Engineer,rms Surgical,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),3rd Grade Teacher,Robbinsdale Area Schools (in Minnesota),College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Senior Technical Recruiter,Robert Half,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Owner,Robot Dragon Studios,Opus College of Business,Bachelor's Degree,Minnesota,2021
Middle/Secondary Education,11th Grade English Teacher,Rogers High School,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Lab Technician 1,Pennsylvania State University,College of Arts & Sciences,Bachelor's Degree,Illinois,2021
Accounting,Tax Associate,RSM,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Data Analytics,Data Analytics/Business Intelligence Consulting Associate,RSM,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Accountant,Rsm,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Learning Coordinator,RSM,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Sales Leadership Development Program Associate,RR Donnelley,Opus College of Business,Bachelor's Degree,Illinois,2021
Accounting,International Tax Associate,RSM US LLP,Opus College of Business,Bachelor's Degree,Illinois,2021
COJO Creative Multimedia,Digital Marketing Associate,RSM US LLP,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Project Coordinator,Rust Consulting,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Operations Analyst,RxSense,College of Health,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Commercial Property Tax Consultant,"Ryan, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2021
Individualized,Music Teacher,Saint Ambrose of Woodbury Catholic School,College of Health,Bachelor's Degree,Minnesota,2021
Philosophy,Pastoral Associate for Adult Faith Formation and Liturgy,Saint Mary Magdalen Parish,College of Health,Bachelor's Degree,New Jersey,2021
Catholic Studies,Recruitment and Student Services Coordinator,Saint Paul Seminary School of Divinity,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Missionary,Saint Paul’s Outreach,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Political Science,Missionary,Saint Paul's Outreach,College of Arts & Sciences,Bachelor's Degree,New Jersey,2021
Catholic Studies,Communications Coordinator,Saint Rose Of Lima Catholic Church,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),3rd Grade Teacher,Saint Thomas More Catholic School,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Marketing Director and Executive Assistant,Sandvold Financial Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Development Analyst,Saturday Properties,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Philosophy,Membership Experience Manager,Scientific Societies,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Operations Associate,"SCP Investment, LP",College of Arts & Sciences,Bachelor's Degree,California,2021
Electrical Engineering,Servo Systems Design Engineer,Seagate,Opus College of Business,Bachelor's Degree,Minnesota,2021
Health Promotion & Wellness,Agency Services Coordinator,Second Harvest Heartland,School of Engineering,Bachelor's Degree,Minnesota,2021
Computer Science,Engineering Analyst,Securian Financial,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Business Leadership Analyst,Securian Financial,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Project Manager,Self-employed,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Digital Media Sales Assistant,"Semaphore Solutions, Inc.",College of Arts & Sciences,Bachelor's Degree,California,2021
Electrical Engineering,Design Engineer,Sensonix Inc,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Valuation Analyst,Shenehon Company,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Creative Multimedia,Assistant 3rd Grade Teacher,Shining Mountain Waldorf School,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Sr. Lead Machine Operator,"Shutterfly, Inc.",College of Arts & Sciences,Bachelor's Degree,California,2021
Gen Business Mgmt,Account Manager,Sights on Service,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Influencer Relations Strategist,Sigma Beauty,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Crew Member,"Single-Ply Systems, Inc.",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Business Development Representative,Siteimprove,College of Arts & Sciences,Bachelor's Degree,,2021
Financial Management,Financial Planning specialist,"Skipping Stone Wealth - A private wealth advisory practice of Ameriprise Financial Services, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Leadership & Management,Onboarding Coordinator,Sleep Number Corporation,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Design Engineer,Smith Engineering Inc,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Justice & Peace Studies,Circulation Assistant,Sojourners,College of Arts & Sciences,Bachelor's Degree,District of Columbia,2021
Mechanical Engineering,Engineering Associate,Solar Turbines,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Statistics,Analyst,Solutran,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Human Resources Management,Human Resources Coordinator,Southwest Foodservice Excellence,College of Arts & Sciences,Bachelor's Degree,Arizona,2021
Financial Management,Compliance Services Associate,Sovos,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2021
Operations Management,Compliance Services Associate,Sovos,Opus College of Business,Bachelor's Degree,Massachusetts,2021
Financial Management,Compliance Services,Sovos,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,2d lt,Space force,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Finance Director,SPH Enterprises,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Data Analytics,Performance Analyst,SPL|سُبل,Opus College of Business,Bachelor's Degree,Do not live in the United States,2021
Elementary Education (K-6),Second grade teacher,Spring Lake Park Public Schools,School of Engineering,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),Third Grade teacher,Spring Lake Park School District,Opus College of Business,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),Student Teacher,Spring Lake Park Schools,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Corporate Development Executive,SprintRay,College of Arts & Sciences,Bachelor's Degree,Florida,2021
Family Studies,Human Resources,SPS Commerce,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Associate Consultant,SPS Commerce,Opus College of Business,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Community Account Executive,SPS Commerce,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Associate Consultant,SPS Commerce,School of Engineering,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Estimator/Scheduler,SRF Consulting Group,Opus College of Business,Bachelor's Degree,Minnesota,2021
Neuroscience,Direct support professional,St Coletta of wisconsin,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Catholic Studies,grad assistant,St Thomas,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),2nd Grade Teacher,St. Charles Borromeo Catholic School,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Public Health,Public Health Coordinator,St. Cloud Area School District 742,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Creative Multimedia,Multimedia Content Producer,St. Paul Saints,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mathematics (Education Track),Middle School Math Teacher,St. Peter Catholic School,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
COJO Creative Multimedia,Supervisor,Starbucks,Opus College of Business,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Barista,Starbucks,Opus College of Business,Bachelor's Degree,Washington,2021
Entrepreneurship,New Business Specialist,State Farm,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Bike Park Designer,Steamboat Resort,School of Engineering,Bachelor's Degree,Colorado,2021
COJO Journalism,Sports Editor,Steele County Times,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Marketing intern and leasing consultant,Steven Scott Management,School of Education,Bachelor's Degree,Minnesota,2021
Marketing Management,Digital Marketing Intern,Stevens Equipment Supply,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Manager,StoneArch,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Civil Engineering,Design Engineer,Stonebrooke Engineering,Opus College of Business,Bachelor's Degree,Minnesota,2021
Physics,Water Engineer,Suez,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Analyst,SullivanCotter,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Wholesale Broker,Summit 360,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Post-Closing Specialist,Summit Mortgage Corporation - NMLS# 1041,Opus College of Business,Bachelor's Degree,Minnesota,2021
Data Analytics,Analyst - Customer & Web Analytics,Sun Country Airlines,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Loan Officer / LOA,Supreme Lending,Opus College of Business,Bachelor's Degree,Texas,2021
Operations Management,Operations Manager,Target,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Engineering,Software Engineer,Target,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Inventory Analyst,Target,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Insights Analyst,Target,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Inventory Analyst,Target,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Inventory Analyst,Target,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Sales Team Member,Target,School of Engineering,Bachelor's Degree,Minnesota,2021
Computer Science,Data Engineer,Target Corporation,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Inventory Analyst,Target corporation.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Relationship Banker,TCF Bank,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,IT Support Technician,Tech Desk Minneapolis,Opus College of Business,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Technical recruiter,TEKsystems,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Technical Recruiter,TEKsystems,College of Arts & Sciences,Bachelor's Degree,Maryland,2021
Marketing Management,Marketing Specialist,Tessellation Consulting,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Individualized,Tetra Tech Field Archaeologist,Tetra Tech,School of Engineering,Bachelor's Degree,California,2021
Political Science,Paralegal,Texas RioGrande Legal Aid,Opus College of Business,Bachelor's Degree,Texas,2021
Marketing Management,Project Management Consultant,"THE ASPEN UTILITY COMPANY, LLC",School of Engineering,Bachelor's Degree,Texas,2021
Environmental Studies,Environmental Specialist,The Bernard Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Fixture Project Coordinator,"The Bernard Group, Inc.",Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Brandlab fellow marketer,The brand lab,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Behavioral Therapist,The bridge autism clinic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales And Leasing Agent,The Bridges & Knoll Apartments,Opus College of Business,Bachelor's Degree,Massachusetts,2021
Electrical Engineering,Laboratory Assistant - ECE SEAS,The George Washington University,Opus College of Business,Bachelor's Degree,District of Columbia,2021
Real Estate Studies,Commercial Real Estate Investment Analyst,"The Great Rivers Company, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2021
MS Operations & Supply Chain Mgmt,Installation Coordinator,The Home Depot,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Assurance Associate,RSM US LLP,School of Education,Bachelor's Degree,Illinois,2021
Neuroscience,Technical Recruiter,The Judge Group,Opus College of Business,Bachelor's Degree,Pennsylvania,2021
Social Work,Youth Specialist,The Link,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
