Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
English,,,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Other,Other
Environmental Sci (Biology),,,,Bachelor's Degree,Texas,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Chemistry,,,,Bachelor's Degree,Texas,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
History,,,,Bachelor's Degree,Indiana,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Mathematics (Pure Track),,,,Bachelor's Degree,Wisconsin,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Biochemistry,,,,Bachelor's Degree,Wisconsin,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Sociology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Mathematics (Applied Track),,,,Bachelor's Degree,Massachusetts,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Justice & Peace Studies,,,,Bachelor's Degree,Pennsylvania,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Financial Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Electrical Engineering,R&D Electrical Engineer I at Abbott,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Engineering
Economics - Public Policy,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Economics,Other,Other
Economics - Business,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Economics,Other,Other
Economics - Mathematical,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Economics,Other,Other
Catholic Studies,,,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Other,Other
Philosophy,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Philosophy,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Philosophy,,,,Bachelor's Degree,Michigan,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Philosophy,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Political Science,University of St. Thomas Graduate             Former President of BridgeUST,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Management & Leadership
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
English,,,,Bachelor's Degree,Wisconsin,2021,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Other,Other
Political Science,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Philosophy,"Juris Doctor Candidate, University of Colorado",,,Bachelor's Degree,Colorado,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Healthcare & Clinical
Catholic Studies,,,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Other,Other
Philosophy,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
COJO Strategic Communications,,,,Bachelor's Degree,Minnesota,2021,COMMUNICATION & MEDIA,Communication Studies,Other,Other
English - Creative Writing,,,,Bachelor's Degree,Minnesota,2021,COMMUNICATION & MEDIA,Creative Writing,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Actuarial Science,"Intern at Risk Placement Services, Inc.",,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Neuroscience,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Entrepreneurship,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Psychology,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Criminal Justice,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Computer Science,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Financial Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Marketing Management,Marketing Management Graduate from the University of St. Thomas - Opus College of Business,,,Bachelor's Degree,Texas,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Marketing & Communications
Biology,,,,Bachelor's Degree,Do not live in the United States,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Justice & Peace Studies,,,,Bachelor's Degree,Do not live in the United States,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Accounting,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Biology,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Mechanical Engineering,Recent Graduate from University of St. Thomas,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Accounting,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Legal Studies,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Social Sciences,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Psychology,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Political Science,Second Year Law Student at Mitchell Hamline School of Law,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Economics,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Economics,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Financial Management,Financial Analyst,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Finance & Accounting
Actuarial Science,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Biochemistry,,,,Bachelor's Degree,Massachusetts,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Middle/Secondary Education,,,,Bachelor's Degree,,2021,EDUCATION & SOCIAL SERVICES,Teacher Education,Other,Other
History,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
English,,,,Bachelor's Degree,District of Columbia,2021,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Other,Other
Philosophy,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Chemistry,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Accounting,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Marketing Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Neuroscience,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Neuroscience,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Criminal Justice,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Marketing Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Electrical Engineering,,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Financial Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Computer Science,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Bus Admin - Communication,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Computer Science,Software Engineering Consultant at ThreeBridge Solutions,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Software & IT
Neuroscience,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Psychology,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Mechanical Engineering,Graduated Mechanical Engineer,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Engineering
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Electrical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Statistics,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Entrepreneurship,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
COJO Strategic Communications,Communications Consultant at Ameriprise Financial,,,Bachelor's Degree,Minnesota,2021,COMMUNICATION & MEDIA,Communication Studies,Other,Finance & Accounting
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Neuroscience,,,,Bachelor's Degree,Illinois,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Accounting,,,,Bachelor's Degree,Illinois,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Marketing Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Justice & Peace Studies,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Gen Business Mgmt,Majoring in General Business Management ll Minor in Psychology,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,General Business,Other,Healthcare & Clinical
Real Estate Studies,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Specialized Business,Other,Other
Financial Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Accounting,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Bus Admin - Communication,"Driven, motivated, charismatic, entrepreneurial-spirited woman",,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Justice & Peace Studies,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Marketing Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Economics,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Economics,Other,Other
History,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Chemistry,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Marketing Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Civil Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Political Science,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Neuroscience,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Computer Science,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Bus Admin - Communication,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Electrical Engineering,,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Computer Science,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Accounting,CPA Candidate,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Computer Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Psychology,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Spanish Cultural/Literary St.,,,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",Languages,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
COJO Journalism,Multimedia Journalist,,,Bachelor's Degree,Minnesota,2021,COMMUNICATION & MEDIA,Journalism & Media,Other,Marketing & Communications
Economics,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Economics,Other,Other
Financial Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Political Science,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Public Health,,,,Bachelor's Degree,Do not live in the United States,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Accounting,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Psychology,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Philosophy,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,Colorado,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
English - Professional Writing,"BA in English-Professional Writing 2021 - Seeking Entry-Level Opportunities in Editing, Proofreading, and Technical Writing.",,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Other,Marketing & Communications
Political Science,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Exercise Science,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Computer Science,,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Social Work,,,,Bachelor's Degree,Minnesota,2021,EDUCATION & SOCIAL SERVICES,Social Work,Other,Other
Marketing Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Philosophy,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Marketing Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Financial Management,Relationship Banker at Old National Bank,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Finance & Accounting
Exercise Science,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Biology,,,,Bachelor's Degree,Wisconsin,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Marketing Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Marketing Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,Wisconsin,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Bus Admin - Communication,Accounting Intern in the University of St. Thomas Controller's Office,,,Bachelor's Degree,Colorado,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Finance & Accounting
Biochemistry,Biochemistry and Business Administration Student at University of St. Thomas,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Research & Science
Biology,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Computer Science,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,Wisconsin,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Criminal Justice,,,,Bachelor's Degree,South Dakota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Exercise Science,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Marketing Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Criminal Justice,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Psychology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Exercise Science,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Financial Management,Financial Analyst at Optum,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Finance & Accounting
Biology of Global Health,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Criminal Justice,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Marketing Management,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Biology,,,,Bachelor's Degree,Wisconsin,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Financial Management,Senior Sourcing & Procurement Analyst at UnitedHealth Group,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Operations & Supply Chain
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Elementary Education (K-6),,,,Bachelor's Degree,Minnesota,2021,EDUCATION & SOCIAL SERVICES,Teacher Education,Other,Other
Human Resources Management,,,,Bachelor's Degree,Iowa,2021,BUSINESS & MANAGEMENT,Specialized Business,Other,Other
Criminal Justice,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Music - Business,Digital Media and Marketing Specialist,,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Other,Marketing & Communications
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Human Resources Management,Talent Sourcing Specialist at Celarity | Creating Happy Careers with Meaningful Connections | Marketing • Creative • Digital,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Specialized Business,Other,Marketing & Communications
Accounting,Federal Tax Associate at Andersen,,,Bachelor's Degree,Illinois,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Finance & Accounting
Philosophy,,,,Bachelor's Degree,Illinois,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Psychology,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Actuarial Science,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,Wisconsin,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Accounting,Audit Associate at KPMG,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Finance & Accounting
Data Analytics,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Elementary Education (K-6),,,,Bachelor's Degree,Minnesota,2021,EDUCATION & SOCIAL SERVICES,Teacher Education,Other,Other
Exercise Science,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Biology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
English,,,,Bachelor's Degree,Minnesota,2021,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Other,Other
Biochemistry,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Law & Compliance,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Specialized Business,Other,Other
Economics - International,International economics graduate with strong interest in Financial Analyst and Psychology,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Economics,Other,Healthcare & Clinical
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Computer Science,,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Public Health,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Electrical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Philosophy,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Economics - Business,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Economics,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Financial Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Exercise Science,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
English - Professional Writing,,,,Bachelor's Degree,,2021,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Marketing Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Other,Other
Actuarial Science,,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Mechanical Engineering,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Other
Mechanical Engineering,USAF Veteran | 5 Years Calibration Technician Experience | BS Mechanical Engineering,,,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Other,Engineering
Public Health,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Data Analytics,Data analyst,,,Bachelor's Degree,Do not live in the United States,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Financial Management,,,,Bachelor's Degree,Wisconsin,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Public Health,,,,Bachelor's Degree,Do not live in the United States,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Gen Business Mgmt,Recently graduated college and moved out to Denver to start pursuing my passion in the business world.,,,Bachelor's Degree,Colorado,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Leadership & Management,Senior Undergradute Business Student at University of St. Thomas,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Geology,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Chemistry,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Other,Other
Sociology,,,,Bachelor's Degree,Minnesota,2021,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
